question_id,question,correct_answer,true_type,group,plain_answer,plain_correct,plain_top1_date,naive_answer,naive_correct,naive_top1_date,ts_answer,ts_correct,ts_classifier_type,ts_p_dynamic,ts_top1_date,classifier_correct,oracle_answer,oracle_correct,oracle_top1_date
q014,What is the largest planet in the solar system?,Jupiter,STATIC,1,Not found in provided documents.,False,2026-07-03,Not found in provided documents.,False,2026-07-07,Not found in provided documents.,False,STATIC,0.0,2026-07-03,True,Not found in provided documents.,False,2026-07-03
q015,What is the freezing point of water in Celsius?,0,STATIC,1,"The freezing point of water is 0 °C. This is stated in multiple documents, including Document 3 and Document 4.",True,2026-07-01,"The freezing point of water is 0 °C. This information is consistently stated across multiple documents, including Document 2, Document 3, and Document 5.",True,2026-07-01,"The freezing point of water is 0 °C. This is stated in multiple documents, including Document 3 and Document 4.",True,STATIC,0.0,2026-07-01,True,The freezing point of water is 0 °C.,True,2026-07-01
q016,When did India gain independence?,1947,STATIC,1,India gained independence in 1947.,True,2026-07-12,Not found in provided documents.,False,2026-07-12,India gained independence in 1947.,True,STATIC,0.0,2026-07-12,True,India gained independence in 1947.,True,2026-07-12
q017,When did World War II end?,1945,STATIC,1,"World War II ended with Japan's formal surrender on 2 September 1945. The war also effectively ended with the armistice of 15 August 1945, but the formal surrender occurred on 2 September 1945.",True,2026-07-06,"World War II ended with the formal surrender of Japan on 2 September 1945. Although an armistice was agreed upon on 15 August 1945, the official end of the war is considered to be 2 September 1945.",True,2026-07-06,"World War II ended with Japan's formal surrender on 2 September 1945. The war also effectively ended with the armistice of 15 August 1945, but the formal surrender occurred on 2 September 1945.",True,STATIC,0.0,2026-07-06,True,"World War II ended with Japan's formal surrender on 2 September 1945. The war also effectively ended with the armistice of 15 August 1945, but the formal surrender occurred on 2 September 1945.",True,2026-07-06
q018,When did World War I begin?,1914,STATIC,1,"World War I began on 28 July 1914. This date is consistently mentioned in Documents 1, 2, and 3.",True,2026-07-04,World War I began on 28 July 1914. This information is found in Document 1.,True,2026-07-04,World War I began on 28 July 1914. This date is consistently mentioned in Documents 1 and 2.,True,STATIC,0.0,2026-07-04,True,World War I began on 28 July 1914. This date is consistently mentioned in Documents 1 and 2.,True,2026-07-04
q019,When was the Constitution of India adopted?,1950,STATIC,1,Not found in provided documents.,False,2026-06-10,Not found in provided documents.,False,2026-06-10,Not found in provided documents.,False,STATIC,0.0,2026-06-10,True,Not found in provided documents.,False,2026-06-10
q020,Who wrote the Indian national anthem?,Rabindranath Tagore,STATIC,1,"Rabindranath Tagore wrote the Indian national anthem, Jana Gana Mana. It was the first of five stanzas of the Brahmo hymn Bharot Bhagyo Bidhata that Tagore composed.",True,2026-06-27,"Rabindranath Tagore wrote the Indian national anthem, Jana Gana Mana.",True,2026-06-27,"Rabindranath Tagore wrote the Indian national anthem, Jana Gana Mana, which is the first of five stanzas of the Brahmo hymn Bharot Bhagyo Bidhata that he composed.",True,STATIC,0.0,2026-06-27,True,"Rabindranath Tagore wrote the Indian national anthem, Jana Gana Mana. It was the first of five stanzas of the Brahmo hymn Bharot Bhagyo Bidhata that Tagore composed.",True,2026-06-27
q021,What is the capital of France?,Paris,STATIC,1,"The capital of France is Paris. Paris is the largest city of France, with an estimated city population of 2.04 million.",True,2026-07-13,"The capital of France is Paris. Paris is the largest city of France, with an estimated city population of 2.04 million.",True,2026-07-13,"The capital of France is Paris. Paris is the largest city of France, with an estimated city population of 2.04 million.",True,STATIC,0.0,2026-07-13,True,"The capital of France is Paris. Paris is the largest city of France, with an estimated city population of 2.04 million.",True,2026-07-13
q022,What is the capital of Japan?,Tokyo,STATIC,1,"The capital city of Japan is Tokyo, with a population of 13.9 million.",True,2026-07-12,The capital city of Japan is Tokyo. It has a population of 13.9 million (2022).,True,2026-07-12,The capital city of Japan is Tokyo. It has a population of 13.9 million (2022).,True,STATIC,0.0,2026-07-12,True,The capital city of Japan is Tokyo. It has a population of 13.9 million (2022) and is part of the Greater Tokyo Area.,True,2026-07-12
q023,What is the longest river in the world?,Nile,STATIC,1,"The longest river in the world is the Nile, as it is mentioned in Document 1 that the Congo River is ""shorter only than the Nile"". Document 3 also mentions that the Nile's length was calculated as 6,853 km, which is still shorter than the Amazon according to the document, but Document 1 already established the Nile as the longest.",True,2026-06-22,"The Nile is the longest river in the world, at 7,088 kilometers (4,404 mi) long.",True,2026-06-22,"The longest river in the world is the Nile, as the Congo River is described as the second-longest river in Africa, shorter only than the Nile.",True,STATIC,0.0,2026-06-22,True,"The longest river in the world is the Nile, as it is mentioned in Document 1 that the Congo River is ""shorter only than the Nile"". Document 3 also provides a calculation of the Nile's length, which is 6,853 km (4,258 mi), but it does not necessarily confirm it as the longest.",True,2026-06-22
q024,What is the tallest mountain in the world?,Everest,STATIC,1,"The tallest mountain in the world from base-to-peak is Mauna Kea, rising 9,330 m (30,610 ft) from its base at the bottom of the ocean. However, the highest point above Earth's sea level is Mount Everest, measuring 8,848.86 m (29,031.7 ft).",True,2026-07-03,"The tallest mountain in the world is Mauna Kea, with a height of 10,203 m from the Pacific Ocean floor, and 4,207 m above sea level. Alternatively, Mount Everest is the highest point above Earth's sea level, measuring 8,848.86 m.",True,2026-07-03,"The tallest mountain in the world from base to peak is Mauna Kea, which rises 9,330 m (30,610 ft) from its base at the bottom of the ocean. However, the highest point above Earth's sea level is Mount Everest, measuring 8,848.86 m (29,031.7 ft).",True,STATIC,0.0,2026-07-03,True,"The tallest mountain in the world from base to peak is Mauna Kea, which rises 9,330 m (30,610 ft) from its base at the bottom of the ocean. However, the highest point above Earth's sea level is Mount Everest, measuring 8,848.86 m (29,031.7 ft).",True,2026-07-03
q025,Who discovered gravity?,Isaac Newton,STATIC,1,Isaac Newton formulated the law of universal gravitation.,True,2026-07-08,"Isaac Newton formulated the law of universal gravitation, giving the first great unification in physics. However, the documents do not explicitly state that he ""discovered"" gravity, but rather worked on its theory and effects.",True,2026-07-08,Isaac Newton formulated the law of universal gravitation.,True,STATIC,0.0,2026-07-08,True,Isaac Newton formulated the law of universal gravitation.,True,2026-07-08
q026,Who was the first President of India?,Rajendra Prasad,STATIC,1,"The first President of India was Rajendra Prasad, who served from 1950 to 1962 for two terms. He is mentioned in multiple documents as the first president of India.",True,2026-06-26,The first President of India was Rajendra Prasad.,True,2026-07-05,"Rajendra Prasad was the first President of India, serving from 1950 to 1962 for two terms. He is mentioned in multiple documents as the first president of India.",True,STATIC,0.0,2026-06-26,True,"Rajendra Prasad was the first President of India, serving from 1950 to 1962 for two terms. He is mentioned in multiple documents as the first president of India.",True,2026-06-26
q027,Who invented the telephone?,Alexander Graham Bell,STATIC,1,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,STATIC,0.0,2026-07-13,True,Not found in provided documents.,False,2026-07-13
q028,When did the French Revolution begin?,1789,STATIC,1,The French Revolution began with the Estates General of 1789. It ended with the Coup of 18 Brumaire on 9 November 1799.,True,2026-06-23,The French Revolution began with the Estates General of 1789.,True,2026-07-13,The French Revolution began with the Estates General of 1789. It ended with the Coup of 18 Brumaire on 9 November 1799.,True,STATIC,0.0,2026-06-23,True,The French Revolution began with the Estates General of 1789. It ended with the Coup of 18 Brumaire on 9 November 1799.,True,2026-06-23
q029,What was India's capital before New Delhi?,Calcutta,STATIC,1,Calcutta was the capital of the British Indian Empire before New Delhi. The capital was transferred from Calcutta to Delhi in 1911.,True,2026-07-13,Calcutta was the capital of the British Indian Empire before New Delhi. The capital was formally transferred from Calcutta to Delhi on 12 December 1911.,True,2026-07-13,Calcutta was the capital of the British Indian Empire before New Delhi. The capital was formally transferred from Calcutta to Delhi in 1911.,True,STATIC,0.0,2026-07-13,True,Calcutta was the capital of the British Indian Empire before New Delhi. The capital was transferred from Calcutta to Delhi in 1911.,True,2026-07-13
q030,How many states does India have?,28,STATIC,1,"India is a federal union comprising 28 states. The country has a total of 36 subnational entities, including 8 union territories in addition to the 28 states.",True,2026-06-30,"India is a federal union comprising 28 states. The country has a total of 36 subnational entities, including 8 union territories in addition to the 28 states.",True,2026-06-30,"India is a federal union comprising 28 states. The total number of subnational entities, including states and union territories, is 36.",True,DYNAMIC_CURRENT,1.0,2026-06-30,False,"India is a federal union comprising 28 states. The country has a total of 36 subnational entities, including 8 union territories in addition to the 28 states.",True,2026-06-30
q031,Who is the Chief Minister of Assam?,Himanta Biswa Sarma,DYNAMIC_CURRENT,2,Biswa Sarma was announced as the 15th chief minister of Assam.,False,2026-07-05,Biswa Sarma was announced as the 15th chief minister of Assam.,False,2026-07-05,Biswa Sarma was announced as the 15th chief minister of Assam.,False,DYNAMIC_CURRENT,1.0,2026-07-05,True,Biswa Sarma was announced as the 15th chief minister of Assam.,False,2026-07-05
q032,Who is the Prime Minister of India?,Narendra Modi,DYNAMIC_CURRENT,2,"The current Prime Minister of India is Narendra Modi, who has been serving since 26 May 2014. He is the first non-Congress leader to become PM after consecutive general elections and secure a third successive term.",True,2026-06-30,"The current Prime Minister of India is Narendra Modi, who has been serving since 26 May 2014. He is the first non-Congress leader to become PM after consecutive general elections and secure a third successive term.",True,2026-06-30,"The current Prime Minister of India is Narendra Modi, who has been serving since 26 May 2014. He is the first non-Congress leader to become PM after consecutive general elections and secure a third successive term.",True,DYNAMIC_CURRENT,1.0,2026-06-30,True,"The current Prime Minister of India is Narendra Modi, who has been serving since 26 May 2014. He is the first non-Congress leader to become PM after consecutive general elections and secure a third successive term.",True,2026-06-30
q033,Who is the President of India?,Droupadi Murmu,DYNAMIC_CURRENT,2,"The President of India is Droupadi Murmu, who is the 15th and current president, having taken office on 25 July 2022.",True,2026-06-26,"Droupadi Murmu is the 15th and current president of India, having taken office on 25 July 2022.",True,2026-06-26,"Droupadi Murmu is the 15th and current president of India, having taken office on 25 July 2022.",True,DYNAMIC_CURRENT,1.0,2026-06-26,True,"Droupadi Murmu is the 15th and current president of India, having taken office on 25 July 2022.",True,2026-06-26
q034,Who is the Chief Minister of West Bengal?,Mamata Banerjee,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-04,Mamata Banerjee served as the Chief Minister of West Bengal from 2011 to 2026.,True,2026-07-04,Mamata Banerjee served as the Chief Minister of West Bengal from 2011 to 2026.,True,DYNAMIC_CURRENT,1.0,2026-07-04,True,Mamata Banerjee served as the Chief Minister of West Bengal from 2011 to 2026.,True,2026-07-04
q035,Who is the Chief Minister of Tamil Nadu?,C. Joseph Vijay,DYNAMIC_CURRENT,2,C. Joseph Vijay of the Tamilaga Vettri Kazhagam is the incumbent Chief Minister of Tamil Nadu since 10 May 2026.,True,2026-06-27,"C. Joseph Vijay of the Tamilaga Vettri Kazhagam is the incumbent Chief Minister of Tamil Nadu since 10 May 2026. However, another document mentions M. K. Stalin as the eighth chief minister of Tamil Nadu from 2021 to 2026, but since C. Joseph Vijay's information is not contradicted by a more recent document, he is considered the current chief minister.",True,2026-06-27,C. Joseph Vijay of the Tamilaga Vettri Kazhagam is the incumbent Chief Minister of Tamil Nadu since 10 May 2026.,True,DYNAMIC_CURRENT,1.0,2026-06-27,True,"C. Joseph Vijay of the Tamilaga Vettri Kazhagam is the incumbent Chief Minister of Tamil Nadu since 10 May 2026. However, another document mentions M. K. Stalin as the eighth chief minister of Tamil Nadu from 2021 to 2026, but since the query type is DYNAMIC_CURRENT, the more recent information is trusted, and M. K. Stalin's term has ended.",True,2026-06-27
q036,Who is the Chief Minister of Karnataka?,Siddaramaiah,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-04,Not found in provided documents.,False,2026-07-04,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-07-04,True,Not found in provided documents.,False,2026-07-04
q037,Who is the Chief Minister of Maharashtra?,Devendra Fadnavis,DYNAMIC_CURRENT,2,"Devendra Fadnavis is the Chief Minister of Maharashtra, currently serving his third term since 5 December 2024.",True,2026-06-29,"Devendra Fadnavis is the Chief Minister of Maharashtra, currently serving his third term since 5 December 2024.",True,2026-06-29,"Devendra Fadnavis is the Chief Minister of Maharashtra, currently serving his third term since 5 December 2024.",True,DYNAMIC_CURRENT,1.0,2026-06-29,True,"Devendra Fadnavis is the Chief Minister of Maharashtra, currently serving his third term since 5 December 2024.",True,2026-06-29
q038,Who is the Chief Justice of India?,Surya Kant,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-05-23,Justice Surya Kant has served as the 53rd Chief Justice of India since November 2025.,True,2026-05-23,Justice Surya Kant has served as the 53rd Chief Justice of India since November 2025.,True,DYNAMIC_CURRENT,1.0,2026-05-23,True,Justice Surya Kant has served as the 53rd Chief Justice of India since November 2025.,True,2026-05-23
q039,Who is the Prime Minister of the United Kingdom?,Keir Starmer,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-08,Not found in provided documents.,False,2026-07-08,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-07-08,True,Not found in provided documents.,False,2026-07-08
q040,Who is the President of the United States?,Donald Trump,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-04,Not found in provided documents.,False,2026-07-04,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-07-04,True,Not found in provided documents.,False,2026-07-04
q041,Who is the Chancellor of Germany?,Friedrich Merz,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-06-29,Not found in provided documents.,False,2026-06-29,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-06-29,True,Not found in provided documents.,False,2026-06-29
q042,Who is the President of France?,Emmanuel Macron,DYNAMIC_CURRENT,2,"Emmanuel Macron is the President of France, having been elected in 2017. He has been serving as President since then, as indicated in the documents.",True,2026-07-12,"Emmanuel Macron is the President of France, having been elected in 2017. He has been serving as President since then, as indicated in the documents.",True,2026-07-12,"Emmanuel Macron is the President of France, having been elected in 2017. He has been serving as President since then, as indicated in the documents.",True,DYNAMIC_CURRENT,1.0,2026-07-12,True,"Emmanuel Macron is the President of France, having been elected in 2017. He has been serving as President since then, as indicated in the documents.",True,2026-07-12
q043,Who is the Prime Minister of Canada?,Mark Carney,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-07-13,True,Not found in provided documents.,False,2026-07-13
q044,Who is the Prime Minister of Australia?,Anthony Albanese,DYNAMIC_CURRENT,2,"The current Prime Minister of Australia is Anthony Albanese of the Australian Labor Party, who assumed office on 23 May 2022. This information is consistent across multiple documents, including the most recently dated one.",True,2026-06-29,"The current Prime Minister of Australia is Anthony Albanese of the Australian Labor Party. He has been in office since 23 May 2022, as confirmed by the most recent documents.",True,2026-06-29,"The current Prime Minister of Australia is Anthony Albanese of the Australian Labor Party. He assumed office on 23 May 2022, and was still in office as of the most recent document, dated 2026-07-12.",True,DYNAMIC_CURRENT,1.0,2026-06-29,True,"The current Prime Minister of Australia is Anthony Albanese of the Australian Labor Party. He has been in office since 23 May 2022, as confirmed by the most recent documents.",True,2026-06-29
q045,Who is the Secretary-General of the United Nations?,Antonio Guterres,DYNAMIC_CURRENT,2,"António Guterres is the United Nations Secretary-General, having been formally elected by the UN General Assembly on 13 October 2016 and taken office on 1 January 2017.",False,2026-07-08,"António Guterres is the Secretary-General of the United Nations, having been formally elected by the UN General Assembly on 13 October 2016. He became United Nations Secretary-General on 1 January 2017.",False,2026-07-08,"António Guterres is the United Nations Secretary-General, having been formally elected by the UN General Assembly on 13 October 2016. He became Secretary-General on 1 January 2017.",False,DYNAMIC_CURRENT,1.0,2026-07-08,True,"António Guterres is the United Nations Secretary-General, having been formally elected by the UN General Assembly on 13 October 2016. He became Secretary-General on 1 January 2017.",False,2026-07-08
q046,Who is the President of Brazil?,Luiz Inácio Lula da Silva,DYNAMIC_CURRENT,2,The current president of Brazil is Luiz Inácio Lula da Silva.,True,2026-06-20,The current president is Luiz Inácio Lula da Silva.,True,2026-06-20,The current president is Luiz Inácio Lula da Silva.,True,DYNAMIC_CURRENT,1.0,2026-06-20,True,The current president is Luiz Inácio Lula da Silva.,True,2026-06-20
q047,Who is the CEO of Google?,Sundar Pichai,DYNAMIC_CURRENT,2,"Sundar Pichai became CEO of Google, replacing Page.",True,2026-07-12,"Sundar Pichai became CEO of Google, replacing Page.",True,2026-07-12,"Sundar Pichai became CEO of Google, replacing Page.",True,DYNAMIC_CURRENT,1.0,2026-07-12,True,"Sundar Pichai became CEO of Google, replacing Page.",True,2026-07-12
q048,Who is the CEO of Microsoft?,Satya Nadella,DYNAMIC_CURRENT,2,"The CEO of Microsoft is Satya Nadella, who succeeded Steve Ballmer on February 4, 2014.",True,2026-07-10,"Satya Nadella is the CEO of Microsoft, having succeeded Steve Ballmer on February 4, 2014.",True,2026-07-10,"The CEO of Microsoft is Satya Nadella, who succeeded Steve Ballmer on February 4, 2014.",True,DYNAMIC_CURRENT,1.0,2026-07-10,True,"Satya Nadella is the CEO of Microsoft, having succeeded Steve Ballmer on February 4, 2014.",True,2026-07-10
q049,Who is the CEO of Apple?,Tim Cook,DYNAMIC_CURRENT,2,The CEO of Apple is Tim Cook. He has served as the chief executive officer of Apple since 2011.,True,2026-07-12,"The CEO of Apple is Tim Cook. He has served as the chief executive officer of Apple since 2011, as stated in the documents.",True,2026-07-12,"The CEO of Apple is Tim Cook. As of April 20, 2026, he is listed as the chief executive officer of Apple.",True,DYNAMIC_CURRENT,1.0,2026-07-12,True,"The CEO of Apple is Tim Cook. He has served as the chief executive officer of Apple since 2011, as stated in the documents.",True,2026-07-12
q050,Who is the CEO of OpenAI?,Sam Altman,DYNAMIC_CURRENT,2,"The documents do not provide a current CEO of OpenAI as they mention Sam Altman was removed as CEO on November 17, 2023, but do not specify who replaced him. Not found in provided documents.",False,2026-07-12,"The documents do not provide a clear current CEO of OpenAI, as they mention Sam Altman being removed as CEO on November 17, 2023, but do not specify who replaced him. Not found in provided documents.",False,2026-07-12,"The documents do not provide a clear current CEO of OpenAI, as they mention Sam Altman being removed as CEO on November 17, 2023, but do not specify who replaced him. Not found in provided documents.",False,DYNAMIC_CURRENT,1.0,2026-07-12,True,"The documents do not provide a clear current CEO of OpenAI as they mention Sam Altman being removed as CEO on November 17, 2023, but do not specify who replaced him. Not found in provided documents.",False,2026-07-12
q051,Who is the world number one ranked chess player?,Magnus Carlsen,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-07-13,True,Not found in provided documents.,False,2026-07-13
q052,Who is the world number one men's tennis player?,Jannik Sinner,DYNAMIC_CURRENT,2,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,2026-07-13,Not found in provided documents.,False,DYNAMIC_CURRENT,1.0,2026-07-13,True,Not found in provided documents.,False,2026-07-13
